Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
322,476982.899,5429140.878,38.0,2.78,br01,2026-03-08
323,476990.6,5429163.188,37.52,5.14,br01,2026-03-08
324,476932.027,5429129.931,34.16,2.49,br01,2026-03-08
325,476957.634,5429123.819,33.65,3.78,br01,2026-03-08
326,477010.53,5429187.648,42.42,1.45,br01,2026-03-08
327,477012.066,5429184.119,37.69,2.37,br01,2026-03-08
328,476927.851,5429137.462,35.07,3.25,br01,2026-03-08
329,476970.343,5429201.499,45.25,4.84,br01,2026-03-08
330,476953.141,5429137.123,33.32,2.83,br01,2026-03-08
331,477005.932,5429182.019,38.91,3.02,br01,2026-03-08
332,476930.199,5429132.543,34.09,1.58,br01,2026-03-08
333,477003.409,5429239.573,45.44,3.77,br01,2026-03-08
334,477004.957,5429176.283,36.38,5.07,br01,2026-03-08
335,476977.25,5429139.043,32.88,1.8,br01,2026-03-08
336,476959.704,5429136.324,32.63,3.25,br01,2026-03-08
337,476933.309,5429135.525,34.82,1.54,br01,2026-03-08
338,476952.107,5429117.804,34.51,0.77,br01,2026-03-08
339,476979.509,5429192.412,45.72,2.82,br01,2026-03-08
340,476934.584,5429135.869,34.47,1.77,br01,2026-03-08
341,476948.433,5429136.234,33.07,2.99,br01,2026-03-08
342,476932.37,5429176.959,49.55,4.5,br01,2026-03-08
343,476928.315,5429131.208,33.45,1.2,br01,2026-03-08
344,476934.027,5429125.4,31.26,2.56,br01,2026-03-08
345,476999.047,5429160.89,37.86,3.73,br01,2026-03-08
346,477016.994,5429220.355,39.61,3.29,br01,2026-03-08
347,476987.976,5429213.772,44.73,3.46,br01,2026-03-08
348,476943.488,5429135.887,35.83,1.88,br01,2026-03-08
349,476989.564,5429150.089,40.48,2.22,br01,2026-03-08
350,476925.4,5429138.273,34.35,3.24,br01,2026-03-08
351,477009.159,5429237.218,42.32,3.61,br01,2026-03-08
352,476997.348,5429179.752,43.6,1.93,br01,2026-03-08
353,476995.208,5429243.327,45.14,5.29,br01,2026-03-08
354,476963.827,5429120.068,32.97,2.42,br01,2026-03-08
355,477001.611,5429174.915,37.82,2.6,br01,2026-03-08
356,476979.805,5429124.723,35.1,3.4,br01,2026-03-08
357,476970.157,5429117.572,27.67,3.63,br01,2026-03-08
358,477007.357,5429170.589,37.73,2.08,br01,2026-03-08
359,476930.958,5429140.209,35.13,4.06,br01,2026-03-08
360,477009.771,5429185.89,40.31,3.38,br01,2026-03-08
361,477005.726,5429235.578,42.96,2.06,br01,2026-03-08
362,476936.845,5429179.347,48.25,3.22,br01,2026-03-08
363,476986.565,5429140.186,34.24,1.87,br01,2026-03-08
364,477016.151,5429229.517,45.11,2.12,br01,2026-03-08
365,476955.764,5429136.192,33.11,1.68,br01,2026-03-08
366,476926.192,5429132.079,33.21,0.93,br01,2026-03-08
367,476934.186,5429169.145,45.18,5.58,br01,2026-03-08
368,476974.188,5429114.667,28.98,3.69,br01,2026-03-08
369,476984.611,5429154.302,37.92,1.47,br01,2026-03-08
370,477023.75,5429213.417,40.54,1.33,br01,2026-03-08
371,476954.527,5429135.72,33.0,4.0,br01,2026-03-08
372,476982.705,5429118.906,33.63,2.32,br01,2026-03-08
373,476990.953,5429203.945,42.43,3.09,br01,2026-03-08
374,476992.326,5429199.569,43.74,5.9,br01,2026-03-08
375,476997.27,5429173.565,39.7,1.77,br01,2026-03-08
376,476933.267,5429131.544,34.54,2.36,br01,2026-03-08
377,477007.89,5429239.27,44.32,2.93,br01,2026-03-08
378,476945.929,5429131.775,38.71,2.22,br01,2026-03-08
379,476967.813,5429146.56,35.18,6.18,br01,2026-03-08
380,476987.841,5429141.776,35.42,2.51,br01,2026-03-08
381,476973.092,5429120.671,29.63,4.23,br01,2026-03-08
382,476953.936,5429115.946,34.15,1.54,br01,2026-03-08
383,476925.955,5429173.5,49.63,2.21,br01,2026-03-08
384,477009.29,5429188.163,40.61,1.64,br01,2026-03-08
385,476954.44,5429119.635,33.64,2.51,br01,2026-03-08
386,476956.186,5429138.017,33.67,3.1,br01,2026-03-08
388,476995.942,5429154.428,38.48,2.71,br01,2026-03-08
389,476999.841,5429158.201,37.0,3.73,br01,2026-03-08
390,476945.774,5429134.909,33.65,3.79,br01,2026-03-08
391,476986.567,5429139.036,35.08,1.73,br01,2026-03-08
